WKT,name,buildings_id
"MULTIPOLYGON (((-0.1253897 51.5096207,-0.1254267 51.509621,-0.1254257 51.5095534,-0.1257077 51.5095532,-0.1257453 51.5095536,-0.1257456 51.5096347,-0.1257262 51.5096433,-0.1257259 51.5096579,-0.1257055 51.5096685,-0.1256517 51.5096693,-0.1254796 51.5097414,-0.1254254 51.5096855,-0.1254263 51.5096484,-0.1253889 51.5096482,-0.1253865 51.5097836,-0.1248174 51.5100176,-0.1246595 51.5098785,-0.1246211 51.5098468,-0.1246044 51.5098538,-0.124535 51.5097936,-0.1245504 51.5097862,-0.1243613 51.5096189,-0.1243718 51.5096132,-0.124366 51.5095989,-0.1243669 51.5095851,-0.1243834 51.5095666,-0.124408 51.5095561,-0.1244304 51.5095534,-0.1244591 51.5095558,-0.1244766 51.5095689,-0.1244923 51.5095624,-0.1245053 51.5095772,-0.1245487 51.509559,-0.1245493 51.5095522,-0.1253888 51.5095536,-0.1253897 51.5096207),(-0.1246254 51.5096463,-0.1245951 51.5096599,-0.1246707 51.5097264,-0.1247168 51.5097033,-0.1247792 51.5097626,-0.1247838 51.509761,-0.124802 51.5097777,-0.1247544 51.5097999,-0.1248323 51.5098663,-0.1249066 51.5098327,-0.124934 51.5098575,-0.1250181 51.5098198,-0.1250109 51.5098115,-0.125289 51.5096983,-0.125289 51.5096501,-0.1246254 51.5096463)))",Charing Cross Police Station,1
"MULTIPOLYGON (((-0.1238054 51.5099018,-0.1237866 51.509885,-0.1236901 51.5097983,-0.1236058 51.5098325,-0.123489 51.5097261,-0.1234897 51.509704,-0.1235838 51.5096614,-0.1237315 51.5097661,-0.1238619 51.5098756,-0.1240092 51.5098127,-0.1240463 51.5098444,-0.1242448 51.5097544,-0.1245489 51.5099934,-0.1244062 51.5100583,-0.1245061 51.5101384,-0.1241935 51.510257,-0.124132 51.5102803,-0.124094 51.5102772,-0.1240797 51.5102642,-0.1237701 51.5099822,-0.1237484 51.5099624,-0.1237217 51.5099381,-0.1238054 51.5099018),(-0.1243392 51.5100167,-0.1240977 51.5100006,-0.1240572 51.5100184,-0.1241601 51.5101205,-0.1243595 51.510042,-0.1243392 51.5100167)))",,2
"MULTIPOLYGON (((-0.123481 51.5146873,-0.1234701 51.5146809,-0.1233913 51.5146311,-0.1233639 51.5146138,-0.1230028 51.5143873,-0.122982 51.5143742,-0.1229825 51.5143712,-0.12298 51.5143695,-0.1229745 51.5143695,-0.1229503 51.5143544,-0.1229525 51.5143517,-0.1229488 51.5143495,-0.1229439 51.5143504,-0.1229204 51.5143356,-0.1229209 51.5143321,-0.1229018 51.5143204,-0.1229249 51.5143055,-0.1229012 51.5142911,-0.1228799 51.5143041,-0.1228591 51.5142918,-0.1228539 51.5142931,-0.1228271 51.5142768,-0.1228304 51.5142741,-0.1228261 51.5142711,-0.1228222 51.514273,-0.1227963 51.5142568,-0.1227997 51.5142551,-0.1227951 51.5142521,-0.1227917 51.5142537,-0.122766 51.5142379,-0.1227655 51.5142347,-0.1227424 51.5142202,-0.1227679 51.5142036,-0.1227682 51.5142009,-0.1227887 51.5141898,-0.1227927 51.5141922,-0.1228013 51.5141869,-0.1227976 51.5141846,-0.1228234 51.5141683,-0.1228269 51.5141707,-0.1228331 51.5141663,-0.1228296 51.5141639,-0.1228536 51.5141501,-0.1228609 51.5141511,-0.1228816 51.5141383,-0.1229001 51.514149,-0.1229003 51.5141522,-0.1229053 51.5141522,-0.1229319 51.5141689,-0.1229289 51.514171,-0.1229329 51.5141735,-0.1229363 51.5141717,-0.1229635 51.5141888,-0.1229596 51.5141909,-0.1229644 51.5141937,-0.1229678 51.5141915,-0.1229925 51.5142069,-0.1229903 51.5142079,-0.1229938 51.5142105,-0.1229963 51.5142086,-0.1230166 51.5142221,-0.1229931 51.5142378,-0.1230101 51.5142487,-0.1230323 51.5142343,-0.1230563 51.5142494,-0.1230769 51.5142367,-0.123057 51.5142223,-0.1230777 51.5142098,-0.1230783 51.5142059,-0.1231018 51.5141914,-0.1231059 51.5141922,-0.1231086 51.5141904,-0.1231081 51.5141875,-0.1231208 51.5141798,-0.1231341 51.5141716,-0.1231378 51.5141723,-0.1231404 51.5141705,-0.1231401 51.5141679,-0.1231667 51.5141509,-0.1231716 51.514151,-0.1231901 51.5141391,-0.1232116 51.5141539,-0.1232342 51.51414,-0.1232132 51.5141268,-0.1232355 51.5141131,-0.1232326 51.5141112,-0.1232136 51.5140993,-0.1231925 51.5141126,-0.1231713 51.5140995,-0.1231732 51.5140961,-0.1231675 51.5140972,-0.123144 51.5140826,-0.1231485 51.51408,-0.1231436 51.5140766,-0.123139 51.5140795,-0.1231134 51.5140637,-0.1231182 51.5140609,-0.1231118 51.5140568,-0.123107 51.5140597,-0.1230827 51.5140447,-0.1230831 51.5140421,-0.1230792 51.5140421,-0.1230585 51.5140296,-0.1230793 51.514017,-0.1230846 51.5140176,-0.1230837 51.5140143,-0.1231075 51.5139998,-0.1231122 51.5140036,-0.1231206 51.5139985,-0.123115 51.5139952,-0.1231377 51.5139814,-0.1231424 51.5139852,-0.1231521 51.5139793,-0.1231462 51.5139761,-0.1231694 51.5139624,-0.1231736 51.5139625,-0.1231733 51.51396,-0.1231928 51.5139476,-0.1231975 51.5139479,-0.1232266 51.513928,-0.1232473 51.5139153,-0.1233243 51.5138678,-0.1233521 51.5138506,-0.1233783 51.5138671,-0.1233971 51.5138789,-0.1234609 51.5139186,-0.1234846 51.5139334,-0.1234614 51.5139485,-0.1234816 51.5139617,-0.1235057 51.513947,-0.1235303 51.5139619,-0.1236052 51.51401,-0.1236211 51.5140199,-0.123631 51.5140261,-0.1236014 51.5140445,-0.1235018 51.5141059,-0.1234681 51.5141267,-0.1236347 51.5142313,-0.1236595 51.514216,-0.1237681 51.5141489,-0.1237929 51.5141336,-0.1238151 51.5141475,-0.1239004 51.5142011,-0.1239281 51.5142184,-0.1239164 51.5142256,-0.1239533 51.5142488,-0.1239674 51.5142401,-0.1239972 51.5142588,-0.1240699 51.5143044,-0.1240975 51.5143217,-0.1240691 51.5143392,-0.1239828 51.5143925,-0.1239539 51.5144103,-0.1239439 51.5144041,-0.1239203 51.5144187,-0.1239287 51.5144235,-0.1239021 51.51444,-0.1238246 51.5144875,-0.1237983 51.5145037,-0.1237744 51.5144887,-0.1236799 51.5144306,-0.1236499 51.5144118,-0.1236646 51.5144027,-0.1236455 51.5143908,-0.1236292 51.5144009,-0.1236172 51.5143933,-0.1235851 51.5144131,-0.1236095 51.5144284,-0.1235841 51.5144441,-0.1235243 51.514481,-0.1234944 51.5144995,-0.1234684 51.5144831,-0.1234343 51.5145042,-0.123443 51.5145096,-0.1234353 51.5145144,-0.1234798 51.5145423,-0.1234971 51.5145316,-0.1235245 51.5145489,-0.1235988 51.5145955,-0.1236225 51.5146114,-0.1235969 51.5146274,-0.1235126 51.5146796,-0.12349 51.5146936,-0.123481 51.5146873),(-0.1233501 51.5144069,-0.1233794 51.5143888,-0.123433 51.5143558,-0.1234617 51.514338,-0.1234745 51.5143302,-0.1233248 51.5142353,-0.1233051 51.5142442,-0.1232822 51.5142581,-0.1232777 51.5142578,-0.1232742 51.51426,-0.1232747 51.5142622,-0.1232486 51.514279,-0.1232456 51.5142784,-0.1232435 51.5142798,-0.123244 51.5142817,-0.1232203 51.5142962,-0.1232071 51.5143042,-0.1231975 51.5143044,-0.1231699 51.51432,-0.1233255 51.5144221,-0.1233501 51.5144069)))",,3
"MULTIPOLYGON (((-0.1214806 51.5111026,-0.1214712 51.5111239,-0.1208191 51.511384,-0.1206933 51.5114308,-0.1202851 51.5110315,-0.1203005 51.5109988,-0.1210495 51.5107224,-0.121099 51.5107262,-0.1214806 51.5111026),(-0.1210616 51.5109639,-0.1211799 51.5109167,-0.1211612 51.5108986,-0.1211379 51.510908,-0.1210769 51.5108489,-0.1210922 51.5108428,-0.1210727 51.5108238,-0.1209722 51.510864,-0.1209823 51.5108738,-0.121008 51.5108635,-0.1210839 51.510937,-0.1210485 51.5109512,-0.1210616 51.5109639),(-0.1207292 51.5109559,-0.1208191 51.5110492,-0.1209247 51.5110098,-0.1208348 51.5109165,-0.1207292 51.5109559),(-0.1211468 51.5110365,-0.12121 51.5111006,-0.1213149 51.5110606,-0.1212518 51.5109965,-0.1211468 51.5110365),(-0.1205927 51.5111352,-0.1206977 51.5110937,-0.1206096 51.5110073,-0.1205046 51.5110488,-0.1205927 51.5111352),(-0.1209011 51.5111318,-0.1209643 51.5111959,-0.1210693 51.5111559,-0.1210061 51.5110918,-0.1209011 51.5111318),(-0.1206802 51.5112232,-0.1207503 51.5112889,-0.1208899 51.5112311,-0.1208199 51.5111655,-0.1206802 51.5112232)))",Strand Palace Hotel,4
"MULTIPOLYGON (((-0.1253897 51.5096207,-0.1253889 51.5096482,-0.1253865 51.5097836,-0.1248174 51.5100176,-0.1246595 51.5098785,-0.1246211 51.5098468,-0.1245861 51.5098165,-0.1245504 51.5097862,-0.1243613 51.5096189,-0.1243718 51.5096132,-0.124366 51.5095989,-0.1243669 51.5095851,-0.1243834 51.5095666,-0.124408 51.5095561,-0.1244304 51.5095534,-0.1244591 51.5095558,-0.1244766 51.5095689,-0.1244923 51.5095624,-0.1245053 51.5095772,-0.1245487 51.509559,-0.1245493 51.5095522,-0.1253888 51.5095536,-0.1253897 51.5096207),(-0.1246254 51.5096463,-0.1245951 51.5096599,-0.1246707 51.5097264,-0.1247168 51.5097033,-0.1247792 51.5097626,-0.1247838 51.509761,-0.124802 51.5097777,-0.1247544 51.5097999,-0.1248323 51.5098663,-0.1249066 51.5098327,-0.124934 51.5098575,-0.1250181 51.5098198,-0.1250109 51.5098115,-0.125289 51.5096983,-0.125289 51.5096501,-0.1246254 51.5096463)))",,7
"MULTIPOLYGON (((-0.1297143 51.5106737,-0.12971 51.5104668,-0.1296295 51.5102701,-0.1296583 51.5101968,-0.1296865 51.5101826,-0.1297396 51.5101568,-0.1298012 51.5101442,-0.1298409 51.5101634,-0.130004 51.5101384,-0.1300195 51.5101089,-0.1301025 51.5100894,-0.1302009 51.5100923,-0.130273 51.5100964,-0.1303094 51.5101091,-0.1303571 51.5101303,-0.1304141 51.5102113,-0.1304613 51.5102898,-0.130589 51.5104008,-0.1306314 51.5104736,-0.1305865 51.5105258,-0.1305256 51.5105734,-0.1304296 51.510618,-0.1302626 51.5106718,-0.130072 51.5107431,-0.1300082 51.5107722,-0.1299156 51.5107844,-0.129861 51.5107796,-0.1298262 51.5107748,-0.1297519 51.5107304,-0.1297143 51.5106737)))",Leicester Square,8
"MULTIPOLYGON (((-0.1198358 51.5116869,-0.1197448 51.5116493,-0.1197036 51.5116023,-0.1196539 51.5116194,-0.1195715 51.511535,-0.1196127 51.5115147,-0.1195874 51.5115014,-0.1195766 51.5114932,-0.1196392 51.5114685,-0.1197054 51.5114444,-0.120174 51.5112645,-0.1202631 51.5112321,-0.1204581 51.5114264,-0.120543 51.5115171,-0.1199692 51.5117262,-0.1199367 51.5117289,-0.1198358 51.5116869)))",Lyceum Theatre,9
"MULTIPOLYGON (((-0.1268132 51.5106076,-0.1264708 51.5106381,-0.1264563 51.5105751,-0.1258641 51.510628,-0.1258307 51.5104833,-0.1258011 51.510486,-0.1257721 51.5104885,-0.1257447 51.5103694,-0.126738 51.5102808,-0.1268132 51.5106076)))",St Martins Lane Hotel,10
"MULTIPOLYGON (((-0.1259871 51.5096194,-0.126161 51.5095439,-0.12649 51.5095278,-0.1265109 51.5096076,-0.1265272 51.5096728,-0.1265323 51.5097239,-0.1260356 51.5097743,-0.1259871 51.5096194)))",,11
"MULTIPOLYGON (((-0.1232616 51.513011,-0.1231898 51.5130506,-0.1229002 51.513203,-0.1225054 51.513417,-0.1224509 51.513376,-0.1223955 51.5134089,-0.1221378 51.513241,-0.1221932 51.5132081,-0.1221336 51.5131688,-0.1220831 51.5131957,-0.1220422 51.5131658,-0.121866 51.5130375,-0.1219241 51.5130067,-0.1218862 51.5129781,-0.1218018 51.5130203,-0.1215819 51.5128615,-0.1215953 51.512854,-0.1215217 51.5127974,-0.1215145 51.5128016,-0.1213827 51.5126846,-0.1213927 51.5126787,-0.1214735 51.5126432,-0.1215155 51.5126221,-0.1215875 51.5125898,-0.1216595 51.5125575,-0.1217315 51.5125252,-0.1218035 51.5124929,-0.1218755 51.5124606,-0.1219862 51.512411,-0.1220146 51.5123983,-0.1220503 51.5123823,-0.1223711 51.5126594,-0.1230808 51.5123512,-0.1231052 51.512372,-0.1231368 51.5123984,-0.1232064 51.5124572,-0.1232789 51.5125195,-0.1232704 51.5125232,-0.1232881 51.5125379,-0.1232962 51.5125344,-0.1233177 51.5125528,-0.1233233 51.5125498,-0.1233715 51.5125926,-0.1234196 51.5126355,-0.1234678 51.5126783,-0.1235159 51.5127211,-0.1235641 51.5127639,-0.1236122 51.5128068,-0.1235999 51.5128134,-0.12362 51.512832,-0.1235628 51.512861,-0.1235546 51.5128549,-0.1235035 51.5128824,-0.1233905 51.5129428,-0.1232616 51.513011)))",Royal Opera House,12
